deu_2005,xfra_2005,xbnl_2005
0.346427,0.204502,0.12746500000000002
0.327042,0.202568,0.112251
0.303034,0.19733900000000001,0.10189
0.26695399999999997,0.177565,0.0939056
0.231042,0.15750799999999998,0.096888
0.204774,0.146097,0.115722
0.188617,0.142617,0.146515
0.178038,0.146269,0.192774
0.171961,0.149786,0.254849
0.167803,0.153098,0.295815
0.17673,0.16944800000000002,0.359576
0.202303,0.202351,0.46049300000000004
0.23882899999999999,0.24216,0.575964
0.29,0.282594,0.695087
0.35941,0.32672199999999996,0.807606
0.41866499999999995,0.387061,0.8943959999999999
0.480129,0.451115,0.945766
0.553323,0.503784,0.9743799999999999
0.635127,0.5453520000000001,0.989087
0.718432,0.578167,0.9952840000000001
0.796524,0.601676,0.997657
0.861511,0.625247,0.9985780000000001
0.913091,0.644155,0.998458
0.9463940000000001,0.654358,0.997492
0.965023,0.653251,0.995611
0.974124,0.637658,0.992292
0.978477,0.611164,0.988084
0.978474,0.579311,0.9787239999999999
0.9751540000000001,0.546103,0.9656440000000001
0.968935,0.510742,0.946355
0.958937,0.478351,0.9300120000000001
0.94429,0.455136,0.927034
0.9254049999999999,0.43621099999999996,0.92889
0.9094610000000001,0.403223,0.9278
0.903071,0.399406,0.933735
0.907559,0.44979399999999997,0.947675
0.9144479999999999,0.508505,0.953053
0.9222670000000001,0.526097,0.950614
0.9239290000000001,0.505179,0.9472870000000001
0.9251440000000001,0.487757,0.945523
0.9194209999999999,0.492896,0.9406899999999999
0.9120360000000001,0.48299200000000003,0.940581
0.907676,0.46767,0.944259
0.90654,0.453725,0.949259
0.908358,0.439946,0.954443
0.9090540000000001,0.42351000000000005,0.957506
0.9096049999999999,0.40158699999999997,0.9550420000000001
0.9102379999999999,0.374111,0.9492790000000001
0.909716,0.345821,0.942313
0.90727,0.31801999999999997,0.9309280000000001
0.904336,0.29133200000000004,0.9092610000000001
0.8991290000000001,0.265307,0.870209
0.8947620000000001,0.243444,0.819062
0.887141,0.227854,0.778483
0.880316,0.21941300000000002,0.772148
0.8727879999999999,0.21731799999999998,0.800809
0.8642690000000001,0.211761,0.8294860000000001
0.8521040000000001,0.191626,0.8211780000000001
0.859274,0.180311,0.814852
0.876813,0.18826700000000002,0.8285170000000001
0.889279,0.20241199999999998,0.8456110000000001
0.889734,0.20513299999999998,0.85854
0.892962,0.198757,0.852648
0.898495,0.20108299999999998,0.8541799999999999
0.899595,0.222144,0.881294
0.8962370000000001,0.24195999999999998,0.9080600000000001
0.8990520000000001,0.250925,0.930861
0.899983,0.252738,0.947716
0.90669,0.251732,0.961016
0.908904,0.252387,0.965633
0.915666,0.250315,0.962508
0.917135,0.24457600000000002,0.9553729999999999
0.9157489999999999,0.23530399999999999,0.948759
0.9143979999999999,0.223717,0.9448489999999999
0.919595,0.218167,0.944937
0.9213319999999999,0.22261999999999998,0.946161
0.919902,0.234354,0.9519350000000001
0.915615,0.24597,0.960584
0.912492,0.255364,0.96672
0.9076049999999999,0.261706,0.9688459999999999
0.898731,0.259384,0.968686
0.8871540000000001,0.24606999999999998,0.967831
0.882922,0.23935,0.9679780000000001
0.885223,0.239758,0.971252
0.8856870000000001,0.24380100000000002,0.973817
0.881199,0.244831,0.9726049999999999
0.879626,0.24720100000000003,0.968499
0.8857879999999999,0.276456,0.963651
0.889508,0.32090799999999997,0.9587459999999999
0.887641,0.355931,0.950715
0.8853260000000001,0.377525,0.940433
0.881762,0.384429,0.921746
0.878043,0.383832,0.889436
0.8746510000000001,0.36023299999999997,0.858776
0.872807,0.326706,0.8231879999999999
0.866532,0.292317,0.780942
0.8563290000000001,0.256776,0.731351
0.8362940000000001,0.217338,0.642513
0.811917,0.184418,0.5426979999999999
0.781561,0.166258,0.43933900000000004
0.7464109999999999,0.157592,0.353004
0.704404,0.159772,0.313686
0.671769,0.175574,0.32599
0.644728,0.205224,0.37045700000000004
0.611893,0.23523400000000003,0.406927
0.559449,0.25656999999999996,0.420808
0.520037,0.288234,0.43781899999999996
0.496712,0.32813200000000003,0.473646
0.476655,0.367832,0.516672
0.463338,0.40026,0.572418
0.48127,0.427658,0.641437
0.5285270000000001,0.451137,0.7240800000000001
0.585132,0.48171899999999995,0.803502
0.6384810000000001,0.51661,0.858682
0.688342,0.550434,0.897234
0.73097,0.579633,0.924191
0.7629060000000001,0.60101,0.942219
0.785384,0.62269,0.961957
0.801363,0.639996,0.977866
0.816501,0.647238,0.987608
0.832593,0.6423810000000001,0.989125
0.8531610000000001,0.6207560000000001,0.9860200000000001
0.875374,0.586046,0.977514
0.9068209999999999,0.558235,0.9599139999999999
0.930983,0.51523,0.9138440000000001
0.94531,0.457032,0.82362
0.9356479999999999,0.395834,0.70541
0.906127,0.343029,0.575707
0.851131,0.290957,0.465009
0.7917810000000001,0.232781,0.41348500000000005
0.748279,0.209869,0.413696
0.735479,0.227519,0.48234899999999997
0.7315649999999999,0.246015,0.590172
0.717395,0.24999899999999997,0.670678
0.6904,0.24661599999999997,0.7380439999999999
0.6829,0.26410500000000003,0.818612
0.686488,0.290881,0.86259
0.687639,0.30128499999999997,0.8805370000000001
0.700665,0.30286599999999997,0.8958389999999999
0.733297,0.30601100000000003,0.9102540000000001
0.772296,0.316215,0.9295469999999999
0.795988,0.33623000000000003,0.948557
0.8065359999999999,0.356207,0.960101
0.813563,0.372239,0.967901
0.8217610000000001,0.383617,0.976137
0.833284,0.390098,0.982979
0.8478889999999999,0.393131,0.9883940000000001
0.8580549999999999,0.385325,0.991624
0.8660760000000001,0.375276,0.9934799999999999
0.869935,0.365987,0.994426
0.873295,0.358274,0.9944860000000001
0.8767870000000001,0.35122600000000004,0.993866
0.8775709999999999,0.339884,0.992519
0.880575,0.33034600000000003,0.9914040000000001
0.8882909999999999,0.329552,0.9910120000000001
0.8963110000000001,0.333472,0.990872
0.9000809999999999,0.332848,0.990237
0.903558,0.32710300000000003,0.989025
0.9064610000000001,0.321579,0.9878040000000001
0.9060389999999999,0.33548,0.9854719999999999
0.897576,0.364965,0.982798
0.8813200000000001,0.401636,0.9808040000000001
0.860816,0.448542,0.9806450000000001
0.839458,0.50361,0.981661
0.8210649999999999,0.5586939999999999,0.9839049999999999
0.8029069999999999,0.593109,0.9859870000000001
0.798525,0.625201,0.988209
0.810189,0.652439,0.9904649999999999
0.831234,0.670924,0.992986
0.8564579999999999,0.682791,0.995441
0.8812540000000001,0.688588,0.9973700000000001
0.9085040000000001,0.691337,0.99845
0.9294209999999999,0.691808,0.999077
0.943585,0.6887979999999999,0.9994139999999999
