deu_2012,xbnl_2012,xfra_2012
56011700,22057000,63424500
53856200,20676200,63148500
52638200,19916900,61359900
53054500,19487800,59494700
54273700,19642500,59748100
57735800,20617500,63487300
66158600,23321400,71458900
73959100,27119200,77451300
76701200,29311900,77164500
76313600,29775200,76972900
77224500,29866000,76035900
78757700,30116000,75725500
78172300,29699300,74341600
77412000,29886500,72594300
76379100,29651300,70572900
75958200,29495200,69611400
76435500,29727100,70350900
79610000,31441700,75951400
79003900,31087900,79345900
76574700,30002500,76361000
71252800,28454300,72047200
67727400,26742300,68008400
65098100,25536100,70123100
59708400,24340900,68424900
55075400,22338300,64138500
52715200,20971900,63582600
51575400,20185500,61535700
51874500,19835400,59387600
53280000,19945600,59614500
56296900,20730600,63398900
64517300,23475400,70823400
72775600,27267800,76769600
75610800,29489100,76518200
75291100,29823800,76366900
76130700,30045200,75304200
76657500,30012200,75023300
76396400,29301400,73982100
74939100,29206100,72141500
73844100,28903100,70230100
72944700,28576500,68865900
73506000,28523900,69298000
77432700,30564100,75153900
76673600,30272000,77728200
73409400,28967700,75343500
68316300,27570400,71744700
64712800,25766500,68512300
62712600,24938400,71311500
58197000,24268500,70023900
54361200,22424400,65488100
51746800,20842400,64708200
50171000,19745300,62424600
49668400,19254300,60202900
49758100,19168100,59428900
49097900,19305500,61055400
48824200,20045400,63301700
52773900,21309900,66672600
57148100,23180300,69170300
61040300,24882600,70890200
63523500,25650500,70187900
64498900,26021400,69759700
63550000,25752800,70127000
61155300,25358100,66491900
59289700,24786500,64099300
58896300,24515000,62679000
60488200,24755100,63439200
66201200,26861000,69734100
66902800,27529100,73788600
64638100,26650500,72672900
60434100,25439800,69862800
58268300,24123100,67581100
58411000,23577600,71312500
55317000,22913100,70925500
52058500,21387300,67161700
49211800,20005700,66668700
48043200,19180600,64359500
47159900,18692000,61720400
46748100,18431000,60680200
46029200,18389100,61310800
44294700,18743800,62443300
45998200,19459400,64447900
49654600,20623000,66351400
53600900,21844500,68804000
57535700,22965500,69517100
60888500,23722600,69532800
60321400,23799200,70107400
57428700,23245500,65869200
55704600,22684600,62892100
54898300,22452400,61417900
56642000,22826600,62253700
63536200,25754100,69273500
65540900,26981800,74450600
64305700,26781500,74533100
61781000,25850300,72505900
60319100,24577000,69646700
61185200,23901400,72401800
57868100,22810700,71281100
55074300,21113300,67845400
53359300,20067200,67981900
52313800,19557200,66428000
52622100,19276400,64429300
54308200,19545400,64980300
58118800,20643500,69414900
67947100,23508000,76571200
76536700,27567700,81788600
78885400,29556000,81971300
78936000,30037800,81757200
80093100,30149300,80405700
80728000,30301700,79858600
80058600,29656600,78851900
79291400,29535300,76718500
78239000,29090700,74299400
77313100,28891700,73357500
77282000,29058500,74006700
