deu_2005,xfra_2005,xbnl_2005
0.0,0.0006232330000000001,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0080238,0.00657087,0.0
0.0995922,0.12290899999999999,0.0639841
0.18348699999999998,0.25451599999999996,0.18656
0.217477,0.32998099999999997,0.24024299999999998
0.20612199999999997,0.348876,0.230273
0.160107,0.318916,0.191078
0.0958522,0.250753,0.125305
0.031526599999999995,0.15754300000000002,0.0532076
0.000121313,0.0464525,0.0021539000000000003
0.0,0.00136842,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.013041299999999999,0.00664167,0.0
0.144245,0.14263900000000002,0.0663533
0.254137,0.310242,0.199401
0.295602,0.416764,0.271891
0.277094,0.456583,0.282031
0.22751500000000002,0.399167,0.221993
0.148306,0.295683,0.134858
0.058228699999999994,0.170691,0.0508017
0.00128149,0.05270930000000001,0.00261865
0.0,0.00185167,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.014198500000000001,0.00715459,0.0
0.14995,0.14966500000000002,0.06820239999999998
0.23212199999999997,0.312702,0.177823
0.22618000000000002,0.40406,0.203797
0.159344,0.42419300000000004,0.16195199999999998
0.152497,0.37913600000000003,0.137168
0.116888,0.28996500000000003,0.0923914
0.0548024,0.175746,0.04108780000000001
0.00123082,0.0544637,0.00144458
0.0,0.00209022,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.00998611,0.00703224,0.0
0.0841455,0.116328,0.058983600000000004
0.143149,0.22675399999999998,0.178225
0.159779,0.278116,0.24607300000000001
0.141369,0.275049,0.259094
0.112826,0.235294,0.22830799999999998
0.07049839999999999,0.169133,0.16310999999999998
0.025601299999999997,0.0939476,0.0799601
0.000338747,0.031443,0.00513439
0.0,0.00172784,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.014042700000000002,0.00760183,0.0
0.139151,0.14755,0.07236110000000001
0.21672199999999997,0.300706,0.200803
0.216309,0.380395,0.26264
0.159538,0.389011,0.260902
0.139747,0.360678,0.22276999999999997
0.0985857,0.288344,0.153195
0.043965699999999996,0.185646,0.0717223
0.00127194,0.0657709,0.00491296
0.0,0.00343195,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0149893,0.00977374,0.0
0.14319300000000001,0.160127,0.07345139999999999
0.238289,0.32143499999999997,0.201486
0.261521,0.40979899999999997,0.263497
0.22708299999999998,0.426671,0.261943
0.194872,0.386227,0.21305300000000002
0.135413,0.300931,0.13708399999999998
0.060784500000000005,0.188066,0.059266
0.00233372,0.06750969999999999,0.00470374
0.0,0.00387782,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0177571,0.00986782,0.0
0.15868,0.158698,0.0782322
0.275316,0.33202800000000005,0.215464
0.324864,0.44296,0.290065
0.313994,0.48615200000000003,0.301237
0.25749299999999997,0.43381800000000004,0.264462
0.16986099999999998,0.332045,0.190135
0.0719205,0.203125,0.09657560000000001
0.00331462,0.075271,0.00899559
0.0,0.00461538,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0200826,0.00978457,0.0
0.17339100000000002,0.151671,0.0832533
0.316938,0.30288400000000004,0.232558
0.399154,0.384381,0.324996
0.416127,0.397994,0.354315
0.33813200000000004,0.35034099999999996,0.30503
0.220646,0.263229,0.214515
0.0917346,0.157052,0.10651
0.00419297,0.0666397,0.01111
0.0,0.00562086,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.021424000000000002,0.010859700000000002,0.0
0.174121,0.161983,0.0657361
0.285452,0.305287,0.144773
0.320266,0.36398400000000003,0.153334
0.291139,0.347625,0.107618
0.251143,0.305082,0.094243
0.17736,0.228575,0.067012
0.083662,0.13557,0.033273199999999996
0.00461953,0.05635,0.00193656
0.0,0.00527813,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0118684,0.00536801,0.0
0.06632819999999999,0.0733712,0.0443029
0.116774,0.141566,0.123272
0.138716,0.165681,0.162719
0.133704,0.150865,0.163356
0.10363,0.153039,0.16529000000000002
0.062605,0.135492,0.138915
0.0224389,0.0997617,0.0861051
0.000204865,0.058268499999999994,0.00988571
0.0,0.00720325,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0168623,0.0084396,1.83861e-05
0.120155,0.0941633,0.0850812
0.198371,0.180699,0.213887
0.220244,0.22384,0.283028
0.194952,0.22522399999999998,0.292487
0.15406,0.19956400000000002,0.249007
0.0967038,0.150636,0.17297300000000002
0.0385931,0.0899359,0.0856711
0.00150312,0.04789469999999999,0.0104116
0.0,0.005778,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0090755,0.00936204,0.0
0.0408823,0.0927405,0.043967599999999996
0.0756446,0.172067,0.107306
0.0917814,0.200129,0.125247
0.089752,0.183328,0.10525
0.0684414,0.150612,0.0876298
0.0403056,0.10260999999999999,0.0584231
0.013613499999999999,0.0527513,0.0265611
1.58972e-05,0.0469556,0.00149415
0.0,0.00850118,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0206145,0.0130783,7.03674e-05
0.13672,0.153871,0.0964044
0.22524699999999998,0.269312,0.209443
0.25611100000000003,0.297727,0.23854499999999998
0.236604,0.254348,0.199167
0.184247,0.21618800000000002,0.176012
0.11386700000000001,0.155076,0.128634
0.0451171,0.0869905,0.0688275
0.00214757,0.0591604,0.00894136
0.0,0.00990457,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0243492,0.012643799999999998,0.00013877
0.160615,0.128052,0.10313199999999999
0.250051,0.23060799999999998,0.239025
0.267892,0.268067,0.306681
0.228649,0.248495,0.309272
0.19808399999999998,0.217295,0.25487600000000005
