technology,region,decommissioning_year,capacity
tocg,deu,2024,1837880.0
tocg,xfra,2024,619008.0
tocg,xbal,2024,0.0
tccg,xbnl,2044,7496000.0
tocg,swe,2019,38000.0
tocg,nor,2024,3527.0
tocg,deu,2029,3202820.0
tocg,xfra,2029,1343180.0
tocg,xbal,2029,12480.0
tocg,xbnl,2019,1454320.0
tocg,swe,2024,440511.0
tocg,nor,2029,330.0
tocg,deu,2034,1865560.0
tocg,xfra,2034,1664420.0
tocg,xbal,2034,22594.0
tocg,xbnl,2024,1642320.0
tocg,swe,2029,27308.0
tocg,nor,2034,7801.0
tocg,deu,2039,4544660.0
tocg,xfra,2039,1048280.0
tocg,xbal,2039,437200.0
tocg,xbnl,2029,2703320.0
tocg,swe,2034,46171.0
tocg,nor,2039,800000.0
tocg,deu,2044,484880.0
tocg,xfra,2044,1645000.0
tocg,xbal,2044,350000.0
tocg,xbnl,2034,1693920.0
tocg,swe,2039,389100.0
tocg,nor,2044,0.0
tcpp,deu,2019,9795740.0
tcpp,xfra,2019,12300.0
tcpp,xbal,2019,0.0
tocg,xbnl,2039,1376840.0
tocg,swe,2044,0.0
tcpp,nor,2019,0.0
tcpp,deu,2024,2816350.0
tcpp,xfra,2024,138000.0
tcpp,xbal,2024,0.0
tocg,xbnl,2044,961000.0
tcpp,swe,2019,4300.0
tcpp,nor,2024,0.0
tcpp,deu,2029,4051580.0
tcpp,xfra,2029,0.0
tcpp,xbal,2029,0.0
tcpp,xbnl,2019,420000.0
tcpp,swe,2024,434000.0
tcpp,nor,2029,0.0
tcpp,deu,2034,2907000.0
tcpp,xfra,2034,0.0
tcpp,xbal,2034,0.0
tcpp,xbnl,2024,1280000.0
tcpp,swe,2029,0.0
tcpp,nor,2034,0.0
tcpp,deu,2039,52100.0
tcpp,xfra,2039,0.0
tcpp,xbal,2039,0.0
tcpp,xbnl,2029,0.0
tcpp,swe,2034,0.0
tcpp,nor,2039,0.0
tcpp,deu,2044,15297000.0
tcpp,xfra,2044,0.0
tcpp,xbal,2044,0.0
tcpp,xbnl,2034,0.0
tcpp,swe,2039,0.0
tcpp,nor,2044,0.0
tccg,xibe,2019,0.0
tccg,pol,2019,0.0
tcpp,xbnl,2039,0.0
tcpp,swe,2044,0.0
tccg,xalp,2019,0.0
tccg,xibe,2024,0.0
tccg,pol,2024,0.0
rpvo,dnk,2024,0.0
rpvo,dnk,2029,2300.0
rpvo,dnk,2034,2300.0
rpvo,dnk,2039,527400.0
rpvo,fin,2024,2400.0
rpvo,fin,2029,1300.0
rpvo,fin,2034,1200.0
rpvo,fin,2039,2000.0
rpvo,deu,2024,32000.0
rpvo,deu,2029,1073000.0
rpvo,deu,2034,9461000.0
rpvo,deu,2039,25382000.0
rpvo,nor,2024,0.0
rpvo,nor,2029,6900.0
rpvo,nor,2034,1800.0
rpvo,nor,2039,2300.0
rpvo,pol,2024,0.0
rpvo,pol,2029,100.0
rpvo,pol,2034,200.0
rpvo,pol,2039,1500.0
rpvo,swe,2024,2500.0
rpvo,swe,2029,1200.0
rpvo,swe,2034,5100.0
rpvo,swe,2039,34200.0
rpvo,xbnl,2024,9200.0
rpvo,xbnl,2029,63900.0
rpvo,xbnl,2034,665800.0
rpvo,xbnl,2039,3061100.0
rpvo,xskb,2024,0.0
rpvo,xskb,2029,0.0
rpvo,xskb,2034,7000.0
rpvo,xskb,2039,911000.0
rpvo,xita,2024,18500.0
rpvo,xita,2029,12200.0
rpvo,xita,2034,1150600.0
rpvo,xita,2039,16518700.0
rpvo,xibe,2024,900.0
rpvo,xibe,2029,25900.0
rpvo,xibe,2034,3775400.0
rpvo,xibe,2039,1303600.0
rpvo,xhur,2024,0.0
rpvo,xhur,2029,0.0
rpvo,xhur,2034,200.0
rpvo,xhur,2039,1172300.0
rpvo,xgma,2024,0.0
rpvo,xgma,2029,3000.0
rpvo,xgma,2034,52000.0
rpvo,xgma,2039,2523500.0
rpvo,xgbr,2024,900.0
rpvo,xgbr,2029,7100.0
rpvo,xgbr,2034,17900.0
rpvo,xgbr,2039,2866300.0
rpvo,xfwy,2024,0.0
rpvo,xfwy,2029,0.0
rpvo,xfwy,2034,8900.0
rpvo,xfwy,2039,254700.0
rpvo,xfra,2024,0.0
rpvo,xfra,2029,26000.0
rpvo,xfra,2034,351200.0
rpvo,xfra,2039,4254800.0
rpvo,xczs,2024,0.0
rpvo,xczs,2029,0.0
rpvo,xczs,2034,465000.0
rpvo,xczs,2039,2219000.0
rpvo,xbal,2024,0.0
rpvo,xbal,2029,0.0
rpvo,xbal,2034,0.0
rpvo,xbal,2039,69500.0
rpvo,xalp,2024,17100.0
rpvo,xalp,2029,27100.0
rpvo,xalp,2034,82000.0
rpvo,xalp,2039,1193800.0
tcpp,xbnl,2044,1600000.0
tccg,fin,2019,0.0
tccg,xalp,2024,0.0
tccg,xibe,2029,1005000.0
tccg,pol,2029,0.0
tccg,xfwy,2019,0.0
tccg,fin,2024,0.0
tccg,xalp,2029,0.0
tccg,xibe,2034,6736000.0
tccg,pol,2034,100000.0
tccg,xgbr,2019,0.0
tccg,xfwy,2024,0.0
tccg,fin,2029,0.0
tccg,xalp,2034,395000.0
tccg,xibe,2039,9328700.0
tccg,pol,2039,0.0
tccg,xgbr,2024,0.0
tccg,xfwy,2029,0.0
tccg,fin,2034,0.0
tccg,xalp,2039,455000.0
tccg,xibe,2044,17468000.0
tccg,pol,2044,1200000.0
tccg,xgbr,2029,1800000.0
tccg,xfwy,2034,0.0
tccg,fin,2039,0.0
tccg,xalp,2044,1610000.0
tocg,xibe,2019,327968.0
tocg,pol,2019,0.0
tccg,xgbr,2034,3314000.0
tccg,xfwy,2039,0.0
tccg,fin,2044,0.0
tocg,xalp,2019,72793.0
tocg,xibe,2024,1575950.0
tocg,pol,2024,2200.0
tccg,xgbr,2039,831100.0
tccg,xfwy,2044,890000.0
tocg,fin,2019,334930.0
tocg,xalp,2024,404397.0
tocg,xibe,2029,2099820.0
tocg,pol,2029,208635.0
tccg,xgbr,2044,12880000.0
tocg,xfwy,2019,6400.0
tocg,fin,2024,122910.0
tocg,xalp,2029,345856.0
tocg,xibe,2034,3681580.0
tocg,pol,2034,463100.0
tocg,xgbr,2019,206803.0
tocg,xfwy,2024,53710.0
tocg,fin,2029,243040.0
tocg,xalp,2034,502575.0
tocg,xibe,2039,4819350.0
tocg,pol,2039,6061.0
tocg,xgbr,2024,4499950.0
tocg,xfwy,2029,57165.0
tocg,fin,2034,148900.0
tocg,xalp,2039,466072.0
tocg,xibe,2044,1688000.0
tocg,pol,2044,600000.0
tocg,xgbr,2029,7413000.0
tocg,xfwy,2034,380173.0
tocg,fin,2039,190020.0
tocg,xalp,2044,0.0
tcpp,xibe,2019,1687700.0
tcpp,pol,2019,3164840.0
tocg,xgbr,2034,4515980.0
tocg,xfwy,2039,166529.0
tocg,fin,2044,0.0
tcpp,xalp,2019,406000.0
tcpp,xibe,2024,438000.0
tcpp,pol,2024,1156600.0
tocg,xgbr,2039,1448510.0
tocg,xfwy,2044,160000.0
tcpp,fin,2019,0.0
tcpp,xalp,2024,0.0
tcpp,xibe,2029,1118000.0
tcpp,pol,2029,1690000.0
tocg,xgbr,2044,1505200.0
tcpp,xfwy,2019,530000.0
tcpp,fin,2024,560000.0
tcpp,xalp,2029,0.0
tcpp,xibe,2034,0.0
tcpp,pol,2034,836440.0
tcpp,xgbr,2019,2235000.0
tcpp,xfwy,2024,0.0
tcpp,fin,2029,0.0
tcpp,xalp,2034,0.0
tcpp,xibe,2039,0.0
tcpp,pol,2039,1021000.0
tcpp,xgbr,2024,30000.0
tcpp,xfwy,2029,0.0
tcpp,fin,2034,0.0
tcpp,xalp,2039,0.0
tcpp,xibe,2044,0.0
tcpp,pol,2044,2937000.0
tcpp,xgbr,2029,0.0
tcpp,xfwy,2034,210000.0
tcpp,fin,2039,0.0
tcpp,xalp,2044,0.0
tccg,xgma,2019,0.0
tccg,xskb,2019,0.0
tcpp,xgbr,2034,0.0
tcpp,xfwy,2039,0.0
tcpp,fin,2044,0.0
tccg,xhur,2019,0.0
tccg,xgma,2024,0.0
tccg,xskb,2024,0.0
tcpp,xgbr,2039,0.0
tcpp,xfwy,2044,1300000.0
tccg,dnk,2019,0.0
tccg,xhur,2024,0.0
tccg,xgma,2029,0.0
tccg,xskb,2029,0.0
tcpp,xgbr,2044,0.0
tccg,xczs,2019,0.0
tccg,dnk,2024,0.0
tccg,xhur,2029,0.0
tccg,xgma,2034,0.0
tccg,xskb,2034,0.0
tccg,xita,2019,0.0
tccg,xczs,2024,0.0
tccg,dnk,2029,0.0
tccg,xhur,2034,0.0
tccg,xgma,2039,512000.0
tccg,xskb,2039,0.0
tnuc,xita,2019,885000.0
tnuc,xita,2024,0.0
tnuc,xita,2029,0.0
tnuc,xita,2034,0.0
tnuc,xita,2039,0.0
tnuc,xita,2044,0.0
tnuc,xita,2049,0.0
tnuc,xita,2054,0.0
tnuc,xibe,2019,0.0
tnuc,xibe,2024,2988000.0
tnuc,xibe,2029,4272300.0
tnuc,xibe,2034,0.0
tnuc,xibe,2039,0.0
tnuc,xibe,2044,0.0
tnuc,xibe,2049,0.0
tnuc,xibe,2054,0.0
tnuc,xgma,2019,0.0
tnuc,xgma,2024,0.0
tnuc,xgma,2029,0.0
tnuc,xgma,2034,0.0
tnuc,xgma,2039,0.0
tnuc,xgma,2044,0.0
tnuc,xgma,2049,0.0
tnuc,xgma,2054,0.0
tnuc,xczs,2019,440000.0
tnuc,xczs,2024,880000.0
tnuc,xczs,2029,2294000.0
tnuc,xczs,2034,0.0
tnuc,xczs,2039,470000.0
