dnk_2012,deu_2012,fin_2012,pol_2012,xalp_2012,xbnl_2012,xbal_2012,nor_2012,swe_2012,xfra_2012,xhur_2012,xczs_2012,xgbr_2012,xgma_2012,xibe_2012,xita_2012,xskb_2012,xfwy_2012,hoy
5575950,74780400,11934400,20217000,17707500,28922500,3663330,17379700,20852100,69652600,11273300,12295800,49597700,8751720,42145100,43616800,10876300,6386470,42
5377920,74247800,11915400,19894100,17577800,28595400,3542190,17002100,20627000,72350700,11162100,12166100,53282200,8767190,43661300,43216000,11158700,6346480,43
4996940,72365000,11749300,19801800,16694200,27612300,3417700,16879000,20031600,70208500,11037400,12038600,52048900,8683830,43855800,42479200,11104700,6331120,44
4600890,67376600,11317200,19199200,15802500,26162800,3226110,16564200,19389100,66613700,10680000,11724900,49280100,8236600,43925700,40074400,10812100,6131370,45
4273180,64218200,11496300,18007400,15372600,24769600,2913460,16146800,18459500,62984500,10169200,11081200,46362300,7737500,41960800,37372000,10492300,5957610,46
3892210,61990300,10970200,16608000,15466600,24147000,2610140,15538600,17470800,65129600,9644240,10363700,43134200,7455330,38793000,33925700,10386800,5605260,47
3488110,56224500,10367100,15152000,14531700,23032000,2431460,14690800,16477200,63839000,9082580,9771700,39285200,6940050,35529500,30493500,10004300,5097730,48
3237810,52512800,9961970,14159100,14219900,21021000,2274970,14152000,15707600,59848300,8473970,9493760,35898700,6413720,31875700,27363000,9437900,4555940,49
3133270,49701800,9707920,13521900,13945500,19720800,2176170,13771600,15397400,59437700,8136230,9457840,34902800,6299070,29693300,25506700,8890420,4274310,50
3089040,48902400,9640910,13232600,13573900,18925000,2190280,13575400,15262300,57279800,7883490,9235290,33696900,6036160,28574800,24428800,8265190,4113460,51
3106130,49332600,9649910,13263400,13523400,18532400,2176870,13615200,15276400,55144500,7873400,9132230,32537100,5822620,27957300,23979400,7922780,4024590,52
3190560,50411400,9978970,13508500,13584900,18766900,2329520,13705000,15484500,55374400,8131230,9242140,31273800,5845110,28564000,24213200,7930800,4135860,53
3410710,52905000,10862100,14130300,14710200,19503000,2636990,14309400,16059900,59190200,8821630,9823270,30256000,6249980,30905900,25289100,7999180,4357580,54
4037960,58352300,11386300,16232200,16008500,21580300,3053110,15566400,17636000,66504700,10030800,11195000,31310300,6878600,34820200,29014800,8463920,5013300,55
4879330,64911800,11756300,17952600,17215300,24263400,3389350,16943800,19277100,72081600,10688400,11913700,36639600,7323340,38776000,33589600,9189760,5513240,56
5260310,68638400,11710300,18482200,18182300,27026700,3492480,17518600,19875500,72282900,10984100,12047400,43114400,7919860,41737400,37622000,9991640,5928370,57
5269360,70122100,11622300,18743600,18273400,28254300,3529920,17272400,19775400,72114000,11159800,12121400,46945700,8108260,43700800,40832400,10561100,6145440,58
5378920,71991200,11567300,18679200,18498200,28906300,3492380,17352900,19982500,71509900,11137500,12077200,49628200,8080990,44145800,41790900,10571200,6226190,59
5411090,73179300,11542300,18766700,18669400,29328800,3462570,17419500,20105600,72213200,11077000,12085600,51355100,8064260,43716600,41669500,10542000,6289470,60
5374900,72799800,11446300,18667700,18248100,29106100,3515070,17402900,20125600,71636600,11024800,12021600,52592600,8035240,43508300,39993400,10423800,6220660,61
5462360,71576000,11468300,18767700,18261800,29037100,3478210,17455600,20259700,70171200,10906900,12036700,53231000,7813960,41817600,38712000,10188900,6202090,62
5439240,70402800,11677300,18585100,18053700,28911300,3521040,17676900,20481900,68726400,10872000,12046500,52381100,7825830,41061100,38593600,9954860,6072040,63
5396010,70271700,11925400,18785900,17918300,29187200,3689340,17851800,21224400,67915100,11157800,12220600,52139500,8149500,41185700,38954900,10118600,6011070,64
5594040,72049800,11918400,20309300,18486000,29641700,3705990,17937900,21441500,68497500,12118500,12571300,52502300,8883190,42057800,40807100,10713500,6345170,65
5884550,74791900,11880400,20559200,19026600,30907100,3614370,17568600,21366500,73545100,12340800,12804400,56831300,9510760,44621200,44656300,11534400,6831750,66
5565900,74184600,11881400,20383300,18842800,30083900,3500890,17208500,20920200,75691200,12154300,12547000,59691900,9464970,45896300,44401200,11600700,6759150,67
5147720,71844000,11662300,20187200,17853800,29039600,3373500,16934500,20293800,72595300,11949600,12411900,58219500,9268400,46185500,43404300,11536700,6720000,68
4752670,66692300,11175200,19482700,16691000,27476300,3190850,16537400,19540200,68332500,11535600,12119200,55171800,8564230,45802100,40894200,11222400,6423120,69
4455130,63314200,11313200,18290000,15854700,25978400,2849400,15989400,18684700,64072700,10878000,11338300,51689900,7923380,43490400,38055200,10959400,6190950,70
4091240,61322100,10729100,16802200,15933700,25180100,2580610,15376700,17740000,66099000,10223600,10573600,47528900,7574620,40171200,34656400,10765500,5861600,71
3688150,55907000,10132000,15487400,15431300,23981200,2363450,14670400,16855400,64280000,9660680,9948980,42575100,7006360,36983300,30851800,10288300,5329450,72
3463980,51598400,9725920,14354200,14755700,21993400,2239990,13958600,16161000,59845400,9127520,9595550,38267100,6481000,33327200,27801200,9647600,4744310,73
3314210,48903500,9441870,13786200,14483900,20561500,2194000,13628100,15692600,59019300,8826260,9490550,37243900,6394030,30953400,26060400,8978200,4465860,74
3249870,48184700,9387860,13510400,14150700,19580800,2171560,13429100,15503500,56927200,8561520,9287890,36180400,6144830,29734000,24998600,8480470,4299810,75
3257910,48751700,9457870,13524800,13917300,19189800,2213460,13472600,15431500,55038500,8503290,9147320,35018300,5949000,29294800,24698000,8175570,4226770,76
3328280,50303300,9837950,13718000,13903700,19347100,2344000,13681800,15601600,55383200,8746490,9253610,33894300,5969420,29621600,24973300,8168570,4238350,77
3591650,53110900,10762100,14276400,14847400,20139300,2708110,14118700,16211000,58979100,9416370,9834200,32939900,6350510,31921900,26044200,8233410,4566060,78
4258110,58823900,11284200,16304300,16071800,22265200,3130430,15178600,17785100,66066600,10588500,11229600,33952500,6957240,35721600,29705100,8951980,5182980,79
5055240,66083800,11616300,18125600,17142200,25032200,3441130,16939100,19427200,71072900,11162600,11945100,39675000,7430250,39747900,34179700,9853110,5714210,80
5341730,69355000,11623300,18616800,18177500,27671900,3528050,17379700,20204700,72299600,11376700,12160300,46926000,8043420,42724300,38347700,10511600,6067500,81
5305540,70607500,11522300,18914700,18395200,28451000,3511290,17214000,20160700,72301600,11473500,12404600,49740000,8129900,44307800,41234300,10925100,6258980,82
5361840,71785300,11543300,18995400,18758800,29015400,3521310,17208500,20446900,71676900,11430700,12506700,51580300,8117870,44546500,41848600,10712500,6266210,83
5309560,73524400,11561300,19353000,18844300,29308700,3495730,17071500,20586000,71776100,11393100,12540100,52473800,8127050,43879400,41621900,10545600,6318920,84
5190950,73284000,11502300,19400100,18494200,28883000,3566010,16864200,20551900,70942200,11408100,12644800,53406600,8076670,43698800,40030800,10337500,6288020,85
5204020,72068200,11521300,19573100,18371100,28915100,3552350,16865100,20466900,69578000,11278900,12564600,54062700,7896600,41812200,38838500,10199300,6304750,86
5155770,70823700,11785300,19284700,18019900,28743400,3613630,16886400,20599000,68204800,11275500,12499900,54020800,7827820,41109100,39384100,10064400,6188960,87
5088420,70081900,11935400,19342400,18002000,28689500,3754950,17183500,21094300,67682300,11541900,12536000,54206900,8152210,41294400,39865900,10276100,6189820,88
5418130,71688700,11945400,20544800,18686100,29246700,3769820,17497300,21522600,68598700,12420300,12719400,55096000,8749440,42108100,41250500,10954100,6519980,89
5822230,76064000,11898400,20671600,19301000,31032200,3667640,17386200,21587600,74523300,12631400,12846300,59153600,9272640,44602500,45061100,11674600,6898190,90
5570920,75587800,11917400,20329500,18811600,30202500,3544570,17152000,21112300,77319600,12436400,12622900,60244200,9272450,46024200,44912300,11782200,6845190,91
5190950,73279400,11686300,20194900,17891700,29062800,3396320,17040000,20586000,74348500,12236200,12519800,59033900,9129520,46292700,44031800,11717000,6794420,92
4844150,68599300,11118200,19596100,17034900,27475600,3180870,16757700,19915500,70064100,11776600,12198700,56188000,8542690,45934300,41405300,11361500,6494520,93
4467190,64857700,11236200,18418800,16454700,26106600,2866950,16287500,19001900,66025300,10967700,11410100,52535300,7923520,43945200,38667500,11106100,6272420,94
4088220,62988700,10784100,16939600,16598800,25327300,2582720,15672900,18008200,67732400,10328600,10686300,47863800,7573660,40666400,35103800,10863200,5894200,95
3796710,57396500,10194000,15603700,15844600,24178500,2373190,14826800,16994500,66241400,9744180,10146200,43378200,7034760,37310600,31628100,10396700,5352760,96
3488110,53300700,9835950,14591600,15259200,22164000,2237660,14453800,16139900,61708600,9164520,9806240,39122100,6536080,33567900,28578600,9776180,4834960,97
3352400,50996900,9563890,13929400,14632000,20707900,2163880,13979900,15822700,61163500,8818430,9740900,38196300,6370630,31252800,26693000,9059680,4605280,98
3306160,50006600,9444870,13673800,14051000,19868500,2145440,13889200,15623600,58896500,8574550,9500780,37199800,6105690,30081000,25587700,8516760,4429500,99
3314210,50196300,9535890,13637200,13842900,19487600,2176970,13966900,15607600,56618800,8532080,9339570,35691500,5912680,29498100,25060400,8211010,4360290,100
3388590,51583500,9857950,13816000,13801200,19568400,2384330,14153900,15867800,56646300,8755400,9431270,34251700,5939600,29878000,25238500,8162140,4380830,101
3596670,53878100,10762100,14437800,14668400,20315100,2723990,14550100,16585200,59894500,9489450,10039200,33169000,6319720,31776700,26281000,8246650,4641770,102
